1,"0000194819","4","MCG","FLURANDRENOLIDE"
2,"0000173472","1","GM","CAPREOMYCIN"
3,"0000227704","250","MG","CYCLOSERINE"
4,"0000232836","","NS","PERGOLIDE MESYLATE"
5,"0000232840","","NS","PERGOLIDE MESYLATE"
6,"0000232842","","NS","PERGOLIDE MESYLATE"
7,"0000180471","500","MG","CEPHALEXIN"
8,"0000222205","150","MG","NIZATIDINE"
9,"0000225115","300","MG","NIZATIDINE"
10,"0000179117","","NS","NORTRIPTYLINE HYDROCHLORIDE"
11,"0000181596","1","GM","MORPHINE"
12,"0000181001","0.5","GM","AMOBARBITAL SODIUM"
13,"0000000003","0","NS","PENICILLIN V POTASSIUM"
14,"0000000004","0","NS","PENICILLIN V POTASSIUM"
15,"0000000005","325","MG","ACETAMINOPHEN"
16,"0000000005","50","MG","PROPOXYPHENE NAPSYLATE"
17,"0000000006","100","MG","PROPOXYPHENE NAPSYLATE"
18,"0000000007","100","MG","PROPOXYPHENE NAPSYLATE"
19,"0000000007","650","MG","ACETAMINOPHEN"
20,"0000251313","5","MG","OLANZAPINE"
21,"0000251314","10","MG","OLANZAPINE"
22,"0000251312","15","MG","OLANZAPINE"
23,"0000251318","20","MG","OLANZAPINE"
24,"0000175352","250","MG","DIRITHROMYCIN"
25,"0000000009","","NS","TOBRAMYCIN SULFATE"
26,"0000186391","400","MG","ACYCLOVIR"
27,"0000186388","800","MG","ACYCLOVIR"
28,"0000000010","","NS","TOBRAMYCIN SULFATE"
29,"0000186807","100","MG","CYCLOSPORINE"
30,"0000195378","0.05","MG","PERGOLIDE"
31,"0000195379","0.25","MG","PERGOLIDE"
32,"0000195380","1","MG","PERGOLIDE"
33,"0000000012","100","MG","SECOBARBITAL SODIUM"
34,"0000186384","200","MG","ACYCLOVIR"
35,"0000000013","50","MG","SECOBARBITAL SODIUM"
36,"0000000013","50","MG","AMOBARBITAL SODIUM"
37,"0000178090","250","MG","CEPHALEXIN MONOHYDRATE"
38,"0000178092","500","MG","CEPHALEXIN MONOHYDRATE"
39,"0000179067","65","MG","PROPOXYPHENE HYDROCHLORIDE"
40,"0000179066","65","MG","PROPOXYPHENE HYDROCHLORIDE"
41,"0000179066","389","MG","ASPIRIN"
42,"0000179066","32.4","MG","CAFFEINE"
43,"0000184054","100","MG","SECOBARBITAL SODIUM"
44,"0000200939","50","MG","AMOBARBITAL SODIUM"
45,"0000200939","50","MG","SECOBARBITAL"
46,"0000187122","300","MG","FENOPROFEN"
