1,"0000194819","1032","ADRENAL CORTICOSTEROIDS"
2,"0000194819","1268","TOPICAL STEROIDS"
3,"0000173472","0356","ANTIMYCOBACTERIALS (INCL ANTI LEPROSY)"
4,"0000227704","0356","ANTIMYCOBACTERIALS (INCL ANTI LEPROSY)"
5,"0000232836","1371","EXTRAPYRAMIDAL MOVEMENT DISORDERS"
6,"0000232840","1371","EXTRAPYRAMIDAL MOVEMENT DISORDERS"
7,"0000232842","1371","EXTRAPYRAMIDAL MOVEMENT DISORDERS"
8,"0000180471","0347","CEPHALOSPORINS"
9,"0000222205","0874","DISORDERS, ACID/PEPTIC"
10,"0000225115","0874","DISORDERS, ACID/PEPTIC"
11,"0000179117","0630","ANTIDEPRESSANTS"
12,"0000181596","0875","ANTIDIARRHEALS"
13,"0000181001","0626","SEDATIVES/HYPNOTICS"
14,"0000000003","0346","PENICILLINS"
15,"0000000004","0346","PENICILLINS"
16,"0000000005","1720","ANALGESICS, GENERAL"
17,"0000000006","1721","ANALGESICS-NARCOTIC"
18,"0000000007","1720","ANALGESICS, GENERAL"
19,"0000251313","0628","ANTIPSYCHOTICS/ANTIMANICS"
20,"0000251314","0628","ANTIPSYCHOTICS/ANTIMANICS"
21,"0000251318","0628","ANTIPSYCHOTICS/ANTIMANICS"
22,"0000175352","0348","LINCOSAMIDES/MACROLIDES"
23,"0000000009","0352","AMINOGLYCOSIDES"
24,"0000186391","0388","ANTIVIRALS"
25,"0000186388","0388","ANTIVIRALS"
26,"0000000010","0352","AMINOGLYCOSIDES"
27,"0000186807","1181","IMMUNOMODULATORS"
28,"0000195378","0632","CNS, MISCELLANEOUS"
29,"0000195379","0632","CNS, MISCELLANEOUS"
30,"0000195380","0632","CNS, MISCELLANEOUS"
31,"0000000012","0626","SEDATIVES/HYPNOTICS"
32,"0000186384","0388","ANTIVIRALS"
33,"0000000013","0626","SEDATIVES/HYPNOTICS"
34,"0000178090","0347","CEPHALOSPORINS"
35,"0000178092","0347","CEPHALOSPORINS"
36,"0000179067","1721","ANALGESICS-NARCOTIC"
37,"0000179066","1720","ANALGESICS, GENERAL"
38,"0000179066","1721","ANALGESICS-NARCOTIC"
39,"0000184054","0626","SEDATIVES/HYPNOTICS"
40,"0000200939","0119","ANESTHESIA, ADJUNCTS TO/ANALEPTICS"
41,"0000200939","0626","SEDATIVES/HYPNOTICS"
