"0000000003","  0002","0329","250","MG","R","TAB","0000001","V-CILLIN K TABLETS USP"
"0000000004","  0002","0346","500","MG","R","TAB","0000001","V-CILLIN K TABLETS"
"0000000005","  0002","0351","325;50","MG;MG","R","TAB COATED","0000001","DARVOCET N 50 TABLETS"
"0000000006","  0002","0353","100","MG","R","TAB","0000001","DARVON N TABLETS"
"0000000007","  0002","0363","650;100","MG;MG","R","TAB","0000001","DARVOCET N 100 TABLETS"
"0000000009","  0002","0503","80","MG/2 ML","R","INJ SOL","0000001","NEBCIN INJECTION SOLUTION"
"0000000010","  0002","0509","60","MG/1 ML","R","INJ SOL","0000001","NEBCIN INJECTION SOLUTION"
"0000000012","  0002","0640","100","MG","R","CAP","0000001","SECONAL SODIUM CAPSULES USP"
"0000000013","  0002","0665","50;50","MG;MG","R","CAP","0000001","TUINAL CAPSULES"
"0000000015","  0002","0803","65","MG","R","CAP","0000001","DARVON CAPSULES USP"
"0000000016","  0002","0817","10","MG","R","CAP","0000001","AVENTYL HYDROCHLORIDE CAPSULES"
"0000000022","  0002","1031","15","MG","R","TAB","0000001","PHENOBARBITAL TABLETS"
"0000000023","  0002","1032","30","MG","R","TAB","0000001","PHENOBARBITAL TABLETS"
"0000000024","  0002","1033","100","MG","R","TAB","0000001","PHENOBARBITAL TABLETS USP"
"0000000025","  0002","1037","60","MG","R","TAB","0000001","PHENOBARBITAL TABLETS"
"0000000029","  0002","1064","5","MG","R","TAB","0000001","DOLOPHINE HYDROCHLORIDE TABLETS"
"0000000031","  0002","1094","5","MG","R","TAB","0000001","TAPAZOLE TABLETS"
"0000000032","  0002","1095","10","MG","R","TAB","0000001","TAPAZOLE TABLETS"
"0000000033","  0002","1407","80","MG/ML","R","INJ SOL","0000001","QUINIDINE GLUCONATE INJECTION USP"
"0000000038","  0002","1445","5","GM/VIL","R","INJ PWD F/SOL","0000001","BREVITAL SODIUM INJECTION"
"0000000039","  0002","1446","500","MG/VIAL","R","INJ PWD F/SOL","0000001","BREVITAL SODIUM POWDER FOR INJECTION"
"0000000041","  0002","1448","2.5","GM/VIAL","R","INJ PWD F/SOL","0000001","BREVITAL SODIUM POWDER FOR INJECTION"
"0000000045","  0002","1452","10","MG/ML","R","INJ SOL","0000001","VELBAN INJECTION"
"0000000047","  0002","1465","500","MG/VIAL","R","INJ","0000001","BREVITAL SODIUM POWDER FOR INJECTION"
"0000000051","  0002","1498","1","GM","R","INJ SOL","0000001","KEFZOL INJECTION"
"0000000052","  0002","1499","40","MG/ML","R","INJ","0000001","NEBCIN INJECTION"
"0000000053","  0002","1608","1","%","R","SOL","0000001","SILVER NITRATE"
"0000000056","  0002","1637","15","MG/ML","R","INJ SOL","0000001","MORPHINE SULFATE INJECTION"
"0000000060","  0002","1682","10","MG/ML","R","INJ SOL","0000001","DOLOPHINE HYDROCHLORIDE INJECTION SOLUTION"
"0000000063","  0002","2103","250","MG","R","TAB","0000001","DYMELOR TABLETS"
"0000000066","  0002","2153","40","MG","R","TAB","0000001","METHADONE HYDROCHLORIDE TABLETS DISKETS USP"
"0000000071","  0002","2468","10","MG/5ML","R","LIQ","0000001","AVENTYL HCL ORAL SOLUTION"
"0000000073","  0002","2549","10","MG","R","TAB","0000001","MORPHINE SULFATE TABLETS SOLUBLE"
"0000000074","  0002","2550","15","MG","R","TAB","0000001","MORPHINE SULFATE SOLUBLE TABLETS"
"0000000075","  0002","2551","30","MG","R","TAB","0000001","MORPHINE SULFATE TABLETS SOLUBLE"
"0000000076","  0002","2557","30","MG","R","TAB","0000001","CODEINE PHOSPHATE"
"0000000077","  0002","2558","60","MG","R","TAB","0000001","CODEINE PHOSPHATE"
"0000000079","  0002","2606","10","%","R","TINCTURE","0000001","OPIUM TINCTURE"
"0000000081","  0002","3062","500","MG","R","CAP","0000001","CECLOR CAPSULES"
"0000000082","  0002","3111","389;32.4;","MG;MG;MG","R","CAP","0000001","DARVON COMPOUND 65 CAPSULES"
"0000000083","  0002","3125","125","MG","R","CAP","0000001","VANCOCIN HYDROCHLORIDE CAPSULES"
